k,inertia,inertia_reduction_from_previous_k_pct,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_count,minimum_cluster_share_pct,mean_pairwise_ari,minimum_pairwise_ari,stability_seed_count,stability_pair_count,eligible,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_stability,selection_rank_sum,metric_optimal,selected,operational_chosen
2,8577.117517052055,,0.43826557919410053,6204.694463629099,0.872463628560572,2348,39.9455597141885,0.9955074780656158,0.9918354535352576,5,10,True,1.0,1.0,1.0,3.0,6.0,True,False,False
3,6336.6878178979305,26.12100970634896,0.34782990751359794,5237.150616752886,1.0355242040863533,1262,21.469887716910513,0.9993826170061739,0.998971028343623,5,10,True,3.0,2.0,9.0,1.0,15.0,False,False,False
4,4895.413445756338,22.744916801340967,0.366352821615959,5095.016730681089,0.9289329607957313,1204,20.483157536577068,0.9967330479349237,0.9935021096642686,5,10,True,2.0,3.0,2.0,2.0,9.0,False,True,True
5,4069.288304743471,16.875492747788353,0.34573180493006583,4894.391158001504,0.9511169990418773,480,8.166042871725077,0.9811243646667555,0.9615368639060237,5,10,True,4.0,4.0,3.0,4.0,15.0,False,False,False
6,3535.2286242258824,13.124154410368227,0.3336744352809943,4683.712295763608,0.9609228971121734,468,7.96189179993195,0.9195922196613674,0.876284320143183,5,10,True,5.0,5.0,4.0,9.0,23.0,False,False,False
7,3170.8318641454766,10.30758682998044,0.3028996364828653,4463.308038290447,0.9845277122580214,333,5.6651922422592715,0.9653728031536,0.9340334221445546,5,10,True,6.0,6.0,5.0,7.0,24.0,False,False,False
8,2882.222408831901,9.10201069243243,0.2959325039397679,4291.994055728708,0.9920318784522737,357,6.0734943858455255,0.9666620871566947,0.9417869137882766,5,10,True,7.0,7.0,6.0,6.0,26.0,False,False,False
9,2640.3614500888534,8.391474509459114,0.2883604215820796,4166.03976533417,1.0242194667773055,265,4.508336168764886,0.9402337100149138,0.8904650201811792,5,10,True,9.0,8.0,8.0,8.0,33.0,False,False,False
10,2448.219079249285,7.277123775349101,0.2900554259950348,4044.2661790090947,1.0149572287697124,222,3.776794828172848,0.9773380497685773,0.9554055814838498,5,10,True,8.0,9.0,7.0,5.0,29.0,False,False,False
